symbol,yahoo_symbol
ABC,ABC
ABMD,ABMD
ADS,ADS
ALXN,ALXN
ANSS,ANSS
ANTM,ANTM
ATVI,ATVI
BLL,BLL
CBS,CBS
CDAY,CDAY
CELG,CELG
CERN,CERN
CMA,CMA
COG,COG
CTL,CTL
CTLT,CTLT
CTRA,CTRA
CTXS,CTXS
CXO,CXO
DAY,DAY
DFS,DFS
DISCA,DISCA
DISCK,DISCK
DISH,DISH
DRE,DRE
DWDP,DWDP
ETFC,ETFC
FBHS,FBHS
FI,FI
FL,FL
FLIR,FLIR
FLT,FLT
FRC,FRC
GPS,GPS
HBI,HBI
HES,HES
HFC,HFC
HOLX,HOLX
HRS,HRS
IPG,IPG
JEC,JEC
JNPR,JNPR
JWN,JWN
K,K
KSU,KSU
MMC,MMC
MRO,MRO
MXIM,MXIM
MYL,MYL
NBL,NBL
NLOK,NLOK
NLSN,NLSN
PARA,PARA
PBCT,PBCT
PEAK,PEAK
PKI,PKI
PXD,PXD
RE,RE
RHT,RHT
RTN,RTN
RVTY (PREVIOUSLY PKI),RVTY (PREVIOUSLY PKI)
SEE,SEE
SIVB,SIVB
SYMC,SYMC
TIF,TIF
TMK,TMK
TSS,TSS
TWTR,TWTR
UTX,UTX
VAR,VAR
VIAB,VIAB
VIAC,VIAC
WBA,WBA
WCG,WCG
WLTW,WLTW
WRK,WRK
XEC,XEC
XLNX,XLNX
