symbol,yahoo_symbol
A,A
AAL,AAL
AAP,AAP
ABC,ABC
ABMD,ABMD
ABNB,ABNB
ACGL,ACGL
ADI,ADI
ADM,ADM
ADP,ADP
ADS,ADS
ADSK,ADSK
AEE,AEE
AEP,AEP
AES,AES
AFL,AFL
AIG,AIG
AIV,AIV
AIZ,AIZ
AJG,AJG
AKAM,AKAM
ALB,ALB
ALGN,ALGN
ALK,ALK
ALL,ALL
ALLE,ALLE
ALXN,ALXN
AMCR,AMCR
AME,AME
AMG,AMG
AMP,AMP
AMTM,AMTM
ANET,ANET
ANSS,ANSS
ANTM,ANTM
AON,AON
AOS,AOS
APA,APA
APC,APC
APD,APD
APH,APH
APO,APO
APP,APP
APTV,APTV
ARE,ARE
ARES,ARES
ATO,ATO
ATVI,ATVI
AVB,AVB
AVY,AVY
AWK,AWK
AXON,AXON
AZO,AZO
BALL,BALL
BAX,BAX
BBT,BBT
BBWI,BBWI
BBY,BBY
BDX,BDX
BEN,BEN
BF-B,BF-B
BG,BG
BHF,BHF
BIIB,BIIB
BIO,BIO
BK,BK
BKR,BKR
BLDR,BLDR
BLL,BLL
BR,BR
BRO,BRO
BSX,BSX
BWA,BWA
BX,BX
BXP,BXP
CAG,CAG
CAH,CAH
CARR,CARR
CASY,CASY
CB,CB
CBOE,CBOE
CBRE,CBRE
CBS,CBS
CCI,CCI
CCL,CCL
CDAY,CDAY
CDNS,CDNS
CDW,CDW
CE,CE
CEG,CEG
CELG,CELG
CERN,CERN
CF,CF
CFG,CFG
CHD,CHD
CHRW,CHRW
CHTR,CHTR
CI,CI
CIEN,CIEN
CINF,CINF
CLX,CLX
CMA,CMA
CME,CME
CMG,CMG
CMI,CMI
CMS,CMS
CNC,CNC
CNP,CNP
COG,COG
COHR,COHR
COIN,COIN
COO,COO
COR,COR
COTY,COTY
CPAY,CPAY
CPB,CPB
CPRI,CPRI
CPRT,CPRT
CPT,CPT
CRH,CRH
CRL,CRL
CRWD,CRWD
CSGP,CSGP
CSX,CSX
CTAS,CTAS
CTL,CTL
CTLT,CTLT
CTRA,CTRA
CTSH,CTSH
CTVA,CTVA
CTXS,CTXS
CVNA,CVNA
CXO,CXO
CZR,CZR
D,D
DAL,DAL
DASH,DASH
DAY,DAY
DD,DD
DDOG,DDOG
DECK,DECK
DELL,DELL
DFS,DFS
DG,DG
DGX,DGX
DHI,DHI
DISCA,DISCA
DISCK,DISCK
DISH,DISH
DLR,DLR
DLTR,DLTR
DOC,DOC
DOV,DOV
DOW,DOW
DPZ,DPZ
DRE,DRE
DRI,DRI
DTE,DTE
DVA,DVA
DVN,DVN
DWDP,DWDP
DXC,DXC
DXCM,DXCM
EA,EA
EBAY,EBAY
ECHO,ECHO
ECL,ECL
ED,ED
EFX,EFX
EG,EG
EIX,EIX
EL,EL
ELV,ELV
EME,EME
EMN,EMN
ENPH,ENPH
EOG,EOG
EPAM,EPAM
EQIX,EQIX
EQR,EQR
EQT,EQT
ERIE,ERIE
ES,ES
ESS,ESS
ETFC,ETFC
ETN,ETN
ETR,ETR
ETSY,ETSY
EVRG,EVRG
EW,EW
EXC,EXC
EXE,EXE
EXPD,EXPD
EXPE,EXPE
EXR,EXR
F,F
FANG,FANG
FAST,FAST
FB,FB
FBHS,FBHS
FCX,FCX
FDS,FDS
FDXF,FDXF
FE,FE
FFIV,FFIV
FI,FI
FICO,FICO
FIS,FIS
FISV,FISV
FITB,FITB
FIX,FIX
FL,FL
FLEX,FLEX
FLIR,FLIR
FLR,FLR
FLS,FLS
FLT,FLT
FMC,FMC
FOX,FOX
FOXA,FOXA
FRC,FRC
FRT,FRT
FSLR,FSLR
FTI,FTI
FTNT,FTNT
FTV,FTV
GDDY,GDDY
GEHC,GEHC
GEN,GEN
GIS,GIS
GL,GL
GLW,GLW
GNRC,GNRC
GPC,GPC
GPN,GPN
GPS,GPS
GRMN,GRMN
GT,GT
GWW,GWW
HAL,HAL
HAS,HAS
HBAN,HBAN
HBI,HBI
HCA,HCA
HES,HES
HFC,HFC
HIG,HIG
HII,HII
HLT,HLT
HOG,HOG
HOLX,HOLX
HON,HON
HOOD,HOOD
HP,HP
HPE,HPE
HPQ,HPQ
HRB,HRB
HRL,HRL
HRS,HRS
HSIC,HSIC
HST,HST
HSY,HSY
HUBB,HUBB
HUM,HUM
HWM,HWM
IBKR,IBKR
ICE,ICE
IDXX,IDXX
IEX,IEX
IFF,IFF
ILMN,ILMN
INCY,INCY
INFO,INFO
INVH,INVH
IP,IP
IPG,IPG
IPGP,IPGP
IQV,IQV
IR,IR
IRM,IRM
IT,IT
ITW,ITW
IVZ,IVZ
J,J
JBHT,JBHT
JBL,JBL
JCI,JCI
JEC,JEC
JEF,JEF
JKHY,JKHY
JNPR,JNPR
JWN,JWN
K,K
KDP,KDP
KEY,KEY
KEYS,KEYS
KHC,KHC
KIM,KIM
KKR,KKR
KLAC,KLAC
KMB,KMB
KMI,KMI
KMX,KMX
KR,KR
KSS,KSS
KSU,KSU
KVUE,KVUE
L,L
LB,LB
LDOS,LDOS
LEG,LEG
LEN,LEN
LH,LH
LHX,LHX
LII,LII
LITE,LITE
LKQ,LKQ
LNC,LNC
LNT,LNT
LULU,LULU
LUMN,LUMN
LUV,LUV
LVS,LVS
LW,LW
LYB,LYB
LYV,LYV
M,M
MAA,MAA
MAC,MAC
MAR,MAR
MAS,MAS
MAT,MAT
MCHP,MCHP
MCK,MCK
MCO,MCO
MET,MET
MGM,MGM
MHK,MHK
MKC,MKC
MKTX,MKTX
MLM,MLM
MMC,MMC
MNST,MNST
MOH,MOH
MOS,MOS
MPC,MPC
MPWR,MPWR
MRNA,MRNA
MRO,MRO
MRSH,MRSH
MRVL,MRVL
MSCI,MSCI
MSI,MSI
MTB,MTB
MTCH,MTCH
MTD,MTD
MXIM,MXIM
MYL,MYL
NBL,NBL
NCLH,NCLH
NDAQ,NDAQ
NDSN,NDSN
NEM,NEM
NFX,NFX
NI,NI
NKTR,NKTR
NLOK,NLOK
NLSN,NLSN
NOC,NOC
NOV,NOV
NRG,NRG
NSC,NSC
NTAP,NTAP
NTRS,NTRS
NUE,NUE
NVR,NVR
NWL,NWL
NWS,NWS
NWSA,NWSA
NXPI,NXPI
O,O
ODFL,ODFL
OGN,OGN
OKE,OKE
OMC,OMC
ON,ON
ORLY,ORLY
OTIS,OTIS
OXY,OXY
PANW,PANW
PARA,PARA
PAYC,PAYC
PAYX,PAYX
PBCT,PBCT
PCAR,PCAR
PCG,PCG
PEAK,PEAK
PEG,PEG
PENN,PENN
PFG,PFG
PGR,PGR
PH,PH
PHM,PHM
PKG,PKG
PKI,PKI
PLD,PLD
PNC,PNC
PNR,PNR
PNW,PNW
PODD,PODD
POOL,POOL
PPG,PPG
PPL,PPL
PRGO,PRGO
PRU,PRU
PSA,PSA
PSKY,PSKY
PSX,PSX
PTC,PTC
PVH,PVH
PWR,PWR
PXD,PXD
PYPL,PYPL
Q,Q
QRVO,QRVO
RCL,RCL
RE,RE
REG,REG
REGN,REGN
RF,RF
RHI,RHI
RHT,RHT
RJF,RJF
RL,RL
RMD,RMD
ROK,ROK
ROL,ROL
ROP,ROP
ROST,ROST
RSG,RSG
RTN,RTN
RVTY,RVTY
RVTY (PREVIOUSLY PKI),RVTY (PREVIOUSLY PKI)
SATS,SATS
SBAC,SBAC
SBNY,SBNY
SCG,SCG
SEDG,SEDG
SEE,SEE
SHW,SHW
SIVB,SIVB
SJM,SJM
SLB,SLB
SLG,SLG
SMCI,SMCI
SNA,SNA
SNDK,SNDK
SNPS,SNPS
SOLS,SOLS
SOLV,SOLV
SPGI,SPGI
SRE,SRE
STE,STE
STI,STI
STLD,STLD
STT,STT
STX,STX
STZ,STZ
SW,SW
SWK,SWK
SWKS,SWKS
SYF,SYF
SYK,SYK
SYMC,SYMC
SYY,SYY
TAP,TAP
TDG,TDG
TDY,TDY
TECH,TECH
TEL,TEL
TER,TER
TFC,TFC
TFX,TFX
TGT,TGT
TIF,TIF
TJX,TJX
TKO,TKO
TMK,TMK
TPL,TPL
TPR,TPR
TRGP,TRGP
TRIP,TRIP
TRMB,TRMB
TROW,TROW
TRV,TRV
TSCO,TSCO
TSN,TSN
TSS,TSS
TT,TT
TTD,TTD
TTWO,TTWO
TWTR,TWTR
TXT,TXT
TYL,TYL
UA,UA
UAA,UAA
UAL,UAL
UDR,UDR
UHS,UHS
ULTA,ULTA
UNM,UNM
URI,URI
UTX,UTX
VAR,VAR
VEEV,VEEV
VFC,VFC
VIAB,VIAB
VIAC,VIAC
VICI,VICI
VLO,VLO
VLTO,VLTO
VMC,VMC
VNO,VNO
VNT,VNT
VRSK,VRSK
VRSN,VRSN
VRT,VRT
VRTX,VRTX
VST,VST
VTR,VTR
VTRS,VTRS
WAB,WAB
WAT,WAT
WBA,WBA
WBD,WBD
WCG,WCG
WDAY,WDAY
WDC,WDC
WEC,WEC
WELL,WELL
WHR,WHR
WLTW,WLTW
WM,WM
WMB,WMB
WRB,WRB
WRK,WRK
WSM,WSM
WST,WST
WTW,WTW
WU,WU
WY,WY
WYNN,WYNN
XEC,XEC
XEL,XEL
XLNX,XLNX
XRAY,XRAY
XRX,XRX
XYL,XYL
XYZ,XYZ
YUM,YUM
ZBH,ZBH
ZBRA,ZBRA
ZION,ZION
ZTS,ZTS
